# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄇㄡˊㄘㄞˊㄏㄞˋㄇㄧㄥˋ	謀財害命
ㄇㄢˇㄆㄢˊㄐㄧㄝˉㄕㄨˉ	滿盤皆輸
ㄇㄢˇㄇㄨˋㄌㄧㄣˊㄌㄤˊ	滿目琳琅
ㄇㄢˇㄉㄚˇㄇㄢˇㄙㄨㄢˋ	滿打滿算
ㄇㄢˇㄌㄧㄢˇㄈㄥˉㄔㄣˊ	滿臉風塵
ㄇㄢˇㄎㄡˇㄏㄨㄤˇㄧㄢˊ	滿口謊言
ㄇㄢˇㄎㄡˇㄗㄤˉㄏㄨㄚˋ	滿口髒話
ㄇㄢˇㄏㄢˋㄑㄩㄢˊㄒㄧˊ	滿漢全席
ㄇㄢˇㄑㄧㄤˉㄖㄜˋㄔㄣˊ	滿腔熱忱
ㄇㄢˇㄑㄧㄥˉㄓㄥˋㄈㄨˇ	滿清政府
ㄇㄢˇㄕㄢˉㄅㄧㄢˋㄧㄝˇ	滿山遍野
ㄇㄢˇㄗㄨㄛˋㄐㄧˋㄖㄢˊ	滿坐寂然
ㄇㄢˇㄗㄨㄟˇㄆㄣˉㄈㄣˋ	滿嘴噴糞
ㄇㄢˇㄗㄨㄟˇㄑㄧˇㄆㄠˋ	滿嘴起皰
ㄇㄢˇㄩㄢˊㄔㄨㄣˉㄙㄜˋ	滿園春色
ㄇㄢˊㄅㄨˋㄐㄧㄤˇㄌㄧˇ	蠻不講理
ㄇㄢˊㄊㄧㄢˉㄩㄢˋㄉㄧˋ	埋天怨地
ㄇㄢˊㄒㄧㄣˉㄇㄟˋㄐㄧˇ	瞞心昧己
ㄇㄢˊㄕㄤˋㄑㄧˉㄒㄧㄚˋ	瞞上欺下
ㄇㄢˋㄋㄧˊㄊㄨㄛˉㄅㄚˉ	曼尼托巴
ㄇㄢˋㄏㄚˉㄉㄨㄣˋㄑㄩˉ	曼哈頓區
ㄇㄢˋㄓㄨˉㄕㄚˉㄏㄨㄚˉ	曼珠沙華
ㄇㄢˋㄕㄢˉㄅㄧㄢˋㄧㄝˇ	漫山遍野
ㄇㄢㄍㄨㄥㄔㄨㄑㄧㄠㄐㄧㄤ	慢工出巧匠
ㄇㄣˉㄕㄥˉㄅㄨˋㄒㄧㄤˇ	悶聲不響
ㄇㄣˊㄉㄤˉㄏㄨˋㄉㄨㄟˋ	門當戶對
ㄇㄣˊㄊㄧㄥˊㄖㄨㄛˋㄕˋ	門庭若市
ㄇㄣˊㄒㄧㄣˉㄨˊㄎㄨㄟˋ	捫心無愧
ㄇㄤˊㄅㄨˋㄍㄨㄛˋㄌㄞˊ	忙不過來
ㄇㄤˊㄌㄧˇㄊㄡˉㄒㄧㄢˊ	忙裡偷閑
ㄇㄤˊㄐㄧㄣˋㄇㄤˊㄔㄨˉ	忙進忙出
ㄇㄤˊㄖㄣˊㄇㄛˉㄒㄧㄤˋ	盲人摸象
ㄇㄤˊㄖㄣˊㄇㄣˊㄑㄧㄡˊ	盲人門球
ㄇㄥˊㄉㄧˋㄎㄚˇㄌㄨㄛˊ	蒙地卡羅
ㄇㄥˊㄊㄜˋㄎㄚˇㄌㄨㄛˋ	蒙特卡洛
ㄇㄥˊㄊㄜˋㄨㄟˊㄉㄨㄛˉ	蒙特維多
ㄇㄥˊㄌㄨㄛˊㄨㄟˊㄧㄚˋ	蒙羅維亞
ㄇㄥˊㄍㄨˇㄅㄞˇㄌㄧㄥˊ	蒙古百靈
ㄇㄥˊㄍㄨˇㄕㄚˉㄑㄩㄝˋ	蒙古沙雀
ㄇㄥˋㄏㄨㄢˋㄆㄠˋㄧㄥˇ	夢幻泡影
ㄇㄥˋㄐㄧㄚˉㄌㄚˉㄨㄢˉ	孟加拉灣
ㄇㄥㄊㄜㄎㄚㄌㄨㄛㄈㄤㄈㄚ	蒙特卡羅方法
ㄇㄧˊㄇㄢˋㄒㄧㄥˉㄩㄣˊ	瀰漫星雲
ㄇㄧˊㄌㄧˊㄔㄤˇㄏㄨㄤˇ	迷離惝恍
ㄇㄧˊㄏㄨㄢˋㄇㄛˊㄍㄨ˙	迷幻蘑菇
ㄇㄧˊㄗㄡˇㄕㄣˊㄐㄧㄥˉ	迷走神經
ㄇㄧˊㄗㄨˊㄓㄣˉㄍㄨㄟˋ	彌足珍貴
ㄇㄧˋㄅㄧˋㄏㄨㄛˋㄘㄤˉ	密閉貨艙
ㄇㄧˋㄇㄚˇㄉㄧㄢˋㄅㄠˋ	密碼電報
ㄇㄧˋㄇㄚˇㄏㄨㄛˋㄅㄧˋ	密碼貨幣
ㄇㄧˋㄇㄧˋㄏㄨㄟˋㄕㄜˋ	秘密會社
ㄇㄧˋㄇㄧˋㄐㄧㄥˇㄔㄚˊ	秘密警察
ㄇㄧˋㄋㄧㄠˋㄨㄞˋㄎㄜˉ	泌尿外科
ㄇㄧˋㄒㄧㄝˉㄍㄣˉㄏㄨˊ	密歇根湖
ㄇㄧˋㄩㄝˋㄐㄧㄚˋㄑㄧˉ	蜜月假期
ㄇㄧㄎㄜㄌㄨㄛㄋㄧㄒㄧㄧㄚ	密克羅尼西亞
ㄇㄧㄗㄨㄥㄌㄨㄛㄏㄢㄑㄩㄢ	迷蹤羅漢拳
ㄇㄧㄝˋㄉㄧㄥˇㄓˉㄗㄞˉ	滅頂之災
ㄇㄧㄠˇㄏㄨˉㄑㄧˊㄨㄟˉ	渺乎其微
ㄇㄧㄠˇㄨˊㄧㄣˉㄒㄧㄣˋ	渺無音信
ㄇㄧㄠˋㄅㄨˋㄎㄜˇㄧㄢˊ	妙不可言
ㄇㄧㄠˋㄑㄩˋㄏㄥˊㄕㄥˉ	妙趣橫生
ㄇㄧㄠˋㄩˇㄌㄧㄢˊㄓㄨˉ	妙語連珠
ㄇㄧㄢˇㄈㄟˋㄉㄚˉㄔㄜˉ	免費搭車
ㄇㄧㄢˇㄕㄡˋㄕㄤˉㄏㄞˋ	免受傷害
ㄇㄧㄢˇㄧˋㄒㄧˋㄊㄨㄥˇ	免疫系統
ㄇㄧㄢˇㄨㄟˊㄑㄧˊㄋㄢˊ	勉為其難
ㄇㄧㄢˊㄌㄢˊㄌㄠˇㄉㄠˇ	棉蘭老島
ㄇㄧㄢˊㄌㄧˇㄘㄤˊㄓㄣˉ	綿裡藏針
ㄇㄧㄢˋㄅㄧˋㄙˉㄍㄨㄛˋ	面壁思過
ㄇㄧㄢˋㄅㄨˋㄍㄞˇㄙㄜˋ	面不改色
ㄇㄧㄢˋㄇㄨˋㄎㄜˇㄗㄥˉ	面目可憎
ㄇㄧㄢˋㄇㄨˋㄧˉㄒㄧㄣˉ	面目一新
ㄇㄧㄢˋㄌㄨˋㄅㄨˋㄩㄝˋ	面露不悅
ㄇㄧㄢˋㄌㄨˋㄐㄩㄢˋㄧˋ	面露倦意
ㄇㄧㄢˋㄖㄨˊㄊㄨˇㄙㄜˋ	面如土色
ㄇㄧㄢˋㄙㄜˋㄖㄨˊㄊㄨˇ	面色如土
ㄇㄧㄢˋㄜˋㄒㄧㄣˉㄕㄢˋ	面惡心善
ㄇㄧㄢˋㄧㄡˇㄋㄢˊㄙㄜˋ	面有難色
ㄇㄧㄢˋㄧㄡˇㄘㄞˋㄙㄜˋ	面有菜色
ㄇㄧㄣˊㄏㄤˊㄅㄢˉㄐㄧˉ	民航班機
ㄇㄧㄣˊㄐㄧㄢˉㄍㄨˋㄕ˙	民間故事
ㄇㄧㄣˊㄐㄧㄢˉㄗㄨˇㄓˉ	民間組織
ㄇㄧㄣˊㄐㄧㄢˉㄧˋㄕㄨˋ	民間藝術
ㄇㄧㄣˊㄐㄧㄢˉㄨˇㄉㄠˇ	民間舞蹈
ㄇㄧㄣˊㄑㄩㄢˊㄓㄨˇㄧˋ	民權主義
ㄇㄧㄣˊㄓˉㄇㄧㄣˊㄍㄠˉ	民脂民膏
ㄇㄧㄣˊㄓㄨˇㄉㄤˇㄖㄣˊ	民主黨人
ㄇㄧㄣˊㄕˋㄙㄨˋㄙㄨㄥˋ	民事訴訟
ㄇㄧㄣˊㄗㄟˊㄉㄨˊㄈㄨˉ	民賊獨夫
ㄇㄧㄣˊㄗㄨˊㄗˋㄐㄩㄝˊ	民族自決
ㄇㄧㄣˊㄘㄨㄟˋㄓㄨˇㄧˋ	民粹主義
ㄇㄧㄣˊㄧˋㄉㄧㄠˋㄔㄚˊ	民意調查
ㄇㄧㄣˊㄧㄥˊㄑㄧˇㄧㄝˋ	民營企業
ㄇㄧㄣˊㄩㄢˋㄈㄟˋㄊㄥˊ	民怨沸騰
ㄇㄧㄣㄗㄨㄓㄨㄧㄑㄧㄥㄒㄩ	民族主義情緒
ㄇㄧㄣㄗㄨㄕㄜㄏㄨㄟㄓㄨㄧ	民族社會主義
ㄇㄧㄣㄗㄨㄗㄚㄐㄩㄉㄧㄑㄩ	民族雜居地區
ㄇㄧㄥˊㄅㄧㄢˋㄕˋㄈㄟˉ	明辨是非
ㄇㄧㄥˊㄇㄟˊㄓㄥˋㄑㄩˇ	明媒正娶
ㄇㄧㄥˊㄇㄣˊㄨㄤˋㄗㄨˊ	名門望族
ㄇㄧㄥˊㄇㄨˋㄓㄤˉㄉㄢˇ	明目張膽
ㄇㄧㄥˊㄋㄧˊㄙㄨˉㄉㄚˊ	明尼蘇達
ㄇㄧㄥˊㄓˋㄨㄟˊㄒㄧㄣˉ	明治維新
ㄇㄧㄥˊㄓㄜˊㄅㄠˇㄕㄣˉ	明哲保身
ㄇㄧㄥˊㄕˊㄙㄢˉㄌㄧㄥˊ	明十三陵
ㄇㄧㄥˊㄕㄥˉㄢˋㄐㄧㄤˋ	明升暗降
ㄇㄧㄥˊㄕㄥˋㄍㄨˇㄐㄧˋ	名勝古跡
ㄇㄧㄥˊㄘㄠˇㄧㄡˇㄓㄨˇ	名草有主
ㄇㄧㄥˊㄘㄨㄣˊㄕˊㄨㄤˊ	名存實亡
ㄇㄧㄥˊㄙˉㄎㄨˇㄒㄧㄤˇ	冥思苦想
ㄇㄧㄥˊㄙˉㄎㄨˇㄙㄨㄛˇ	冥思苦索
ㄇㄧㄥˊㄩˋㄒㄩㄝˊㄨㄟˋ	名譽學位
ㄇㄧㄥˊㄩㄢˊㄉㄨㄥˋㄘˊ	名源動詞
ㄇㄧㄥˋㄅㄨˋㄐㄧㄡˇㄧˇ	命不久矣
ㄇㄧㄥˋㄊㄨˊㄎㄢˇㄎㄜˇ	命途坎坷
ㄇㄧㄥˋㄗㄞˋㄉㄢˋㄒㄧˉ	命在旦夕
ㄇㄨˇㄒㄧˋㄕㄜˋㄏㄨㄟˋ	母系社會
ㄇㄨˇㄧㄣˉㄊㄧㄠˊㄏㄜˊ	母音調和
ㄇㄨˋㄅㄨˋㄎㄨㄟˉㄩㄢˊ	目不窺園
ㄇㄨˋㄅㄨˋㄒㄧㄚˊㄐㄧˇ	目不暇給
ㄇㄨˋㄅㄨˋㄖㄣˇㄐㄧㄢˋ	目不忍見
ㄇㄨˋㄇㄚˇㄅㄧㄥˋㄉㄨˊ	木馬病毒
ㄇㄨˋㄋㄜˋㄍㄨㄚˇㄧㄢˊ	木訥寡言
ㄇㄨˋㄌㄧˋㄙㄨㄛˇㄐㄧˊ	目力所及
ㄇㄨˋㄌㄧㄣˊㄓㄥˋㄘㄜˋ	睦鄰政策
ㄇㄨˋㄍㄨˇㄔㄣˊㄓㄨㄥˉ	暮鼓晨鐘
ㄇㄨˋㄍㄨㄢˇㄩㄝˋㄑㄧˋ	木管樂器
ㄇㄨˋㄍㄨㄤˉㄖㄨˊㄉㄡˋ	目光如豆
ㄇㄨˋㄎㄨㄥˉㄧˉㄑㄧㄝˋ	目空一切
ㄇㄨˋㄏㄡˋㄏㄨㄚˉㄒㄩˋ	幕後花絮
ㄇㄨˋㄏㄡˋㄘㄠˉㄗㄨㄥˋ	幕後操縱
ㄇㄨˋㄒㄩㄢˋㄕㄣˊㄇㄧˊ	目眩神迷
ㄇㄨˋㄕㄨˇㄉㄧㄢˋㄈㄣˇ	木薯澱粉
ㄇㄨˋㄨˊㄑㄩㄢˊㄋㄧㄡˊ	目無全牛
ㄇㄨㄌㄧㄗㄤㄗㄨㄗㄓㄒㄧㄢ	木里藏族自治縣
ㄈㄚˇㄉㄧㄥˋㄖㄣˊㄕㄨˋ	法定人數
ㄈㄚˇㄌㄚˉㄉㄧˋㄌㄨㄥˊ	法拉第籠
ㄈㄚˇㄌㄢˊㄎㄜˋㄌㄧㄣˊ	法蘭克林
ㄈㄚˇㄌㄨㄣˊㄉㄚˋㄈㄚˇ	法輪大法
ㄈㄚˇㄍㄨㄛˊㄅㄞˇㄏㄜˊ	法國百合
ㄈㄚˇㄍㄨㄛˊㄨˊㄊㄨㄥˊ	法國梧桐
ㄈㄚˇㄒㄧˉㄙˉㄓㄨˇㄧˋ	法西斯主義
ㄈㄚˇㄩㄢˋㄘㄞˊㄐㄩㄝˊ	法院裁決
ㄈㄚˉㄈㄣˋㄊㄨˊㄑㄧㄤˊ	發憤圖強 發奮圖強
ㄈㄚˉㄍㄨㄛˊㄋㄢˋㄘㄞˊ	發國難財
ㄈㄚˉㄕㄜˋㄒㄧㄥˉㄩㄣˊ	發射星雲
ㄈㄚˉㄕㄥˉㄍㄨㄢˉㄒㄧ˙	發生關係
ㄈㄚˉㄕㄥˉㄑㄧˋㄍㄨㄢˉ	發聲器官
ㄈㄚˉㄖㄣˊㄕㄣˉㄒㄧㄥˇ	發人深省 發人深醒
ㄈㄚˉㄧㄣˉㄑㄧˋㄍㄨㄢˉ	發音器官
ㄈㄚˉㄧㄤˊㄍㄨㄤˉㄉㄚˋ	發揚光大
ㄈㄚˉㄧㄤˊㄔㄨㄛˉㄌㄧˋ	發揚踔厲
ㄈㄚˊㄅㄨˋㄉㄤˉㄗㄨㄟˋ	罰不當罪
ㄈㄚˊㄇㄨˋㄍㄨㄥˉㄖㄣˊ	伐木工人
ㄈㄚˊㄖㄢˊㄌㄧㄠˋㄅㄤˋ	乏燃料棒
ㄈㄚㄌㄢㄎㄜㄈㄨㄏㄨㄟㄅㄠ	法蘭克福匯報
ㄈㄚㄌㄢㄎㄜㄈㄨㄒㄩㄝㄆㄞ	法蘭克福學派
ㄈㄚㄓㄢㄓㄨㄥㄍㄨㄛㄐㄧㄚ	發展中國家
ㄈㄛˊㄌㄤˇㄇㄧㄥˊㄍㄜˉ	佛朗明哥
ㄈㄛˊㄌㄤˇㄐㄧˉㄔㄨㄥˋ	佛朗機銃
ㄈㄛˊㄌㄨㄛˊㄌㄨㄣˊㄙˉ	佛羅倫斯
ㄈㄛˊㄎㄡˇㄕㄜˊㄒㄧㄣˉ	佛口蛇心
ㄈㄟˇㄊㄨˊㄐㄧˊㄊㄨㄢˊ	匪徒集團
ㄈㄟˉㄆㄧㄥˊㄏㄥˊㄊㄞˋ	非平衡態
ㄈㄟˉㄇㄛˋㄔㄨㄢˊㄖㄢˇ	飛沫傳染
ㄈㄟˉㄈㄨˋㄐㄧˊㄍㄨㄟˋ	非富即貴
ㄈㄟˉㄈㄨˋㄗㄜˊㄍㄨㄟˋ	非富則貴
ㄈㄟˉㄉㄨㄥˋㄨˋㄒㄧㄥˋ	非動物性
ㄈㄟˉㄌㄞˊㄏㄥˋㄏㄨㄛˋ	飛來橫禍
ㄈㄟˉㄌㄧˋㄋㄧㄡˊㄆㄞˊ	菲力牛排
ㄈㄟˉㄌㄩˋㄅㄧㄣˉㄖㄣˊ	菲律賓人
ㄈㄟˉㄍㄤˋㄍㄢˇㄏㄨㄚˋ	非槓桿化
ㄈㄟˉㄏㄨㄤˊㄊㄥˊㄉㄚˊ	飛黃騰達
ㄈㄟˉㄐㄧˉㄉㄨㄥˋㄔㄜˉ	非機動車
ㄈㄟˉㄐㄧˉㄧㄚˉㄒㄧㄥˋ	非羈押性
ㄈㄟˉㄑㄧㄣˉㄈㄟˉㄍㄨˋ	非親非故
ㄈㄟˉㄑㄧㄣˊㄗㄡˇㄕㄡˋ	飛禽走獸
ㄈㄟˉㄒㄧㄥˊㄐㄧˋㄌㄨˋ	飛行記錄
ㄈㄟˉㄓㄡˉㄌㄧㄢˊㄇㄥˊ	非洲聯盟
ㄈㄟˉㄓㄣˉㄗㄡˇㄒㄧㄢˋ	飛針走線
ㄈㄟˉㄔㄤˊㄍㄢˇㄒㄧㄝˋ	非常感謝
ㄈㄟˉㄔㄤˊㄕㄡˇㄉㄨㄢˋ	非常手段
ㄈㄟˉㄧˉㄖˋㄓˉㄍㄨㄥˉ	非一日之功
ㄈㄟˋㄐㄧㄣˋㄒㄧㄣˉㄙ˙	費盡心思
ㄈㄟˋㄑㄧㄣˇㄨㄤˋㄘㄢˉ	廢寢忘餐
ㄈㄟˋㄨˋㄉㄧㄢˇㄒㄧㄣ˙	廢物點心
ㄈㄟㄊㄨㄥㄓㄏㄨㄚㄉㄞㄅㄧ	非同質化代幣
ㄈㄟㄌㄩㄅㄧㄣㄐㄩㄢㄐㄧㄡ	菲律賓鵑鳩
ㄈㄟㄏㄜㄨㄑㄧㄍㄨㄛㄐㄧㄚ	非核武器國家
ㄈㄟㄓㄡㄓㄨㄟㄔㄨㄥㄅㄧㄥ	非洲錐蟲病
ㄈㄟㄧㄢㄕㄨㄤㄑㄧㄡㄐㄩㄣ	肺炎雙球菌
ㄈㄢˇㄆㄨˊㄍㄨㄟˉㄓㄣˉ	反璞歸真 返璞歸真
ㄈㄢˇㄈㄣˉㄌㄧㄝˋㄈㄚˇ	反分裂法
ㄈㄢˇㄈㄨˇㄔㄤˋㄌㄧㄢˊ	反腐倡廉
ㄈㄢˇㄉㄠˇㄒㄧˋㄊㄨㄥˇ	反導系統
ㄈㄢˇㄌㄧㄢˇㄨˊㄑㄧㄥˊ	反臉無情
ㄈㄢˇㄌㄨˋㄅㄧㄥˋㄉㄨˊ	反錄病毒
ㄈㄢˇㄎㄨㄥˇㄓㄢˋㄓㄥˉ	反恐戰爭
ㄈㄢˇㄐㄧㄢˋㄉㄠˇㄉㄢˋ	反艦導彈
ㄈㄢˇㄑㄧㄡˊㄈㄨˋㄔㄨˊ	反裘負芻
ㄈㄢˇㄑㄧㄡˊㄓㄨˉㄐㄧˇ	反求諸己
ㄈㄢˇㄒㄧㄥˉㄈㄣˋㄐㄧˋ	反興奮劑
ㄈㄢˇㄕㄜˋㄌㄧㄠˊㄈㄚˇ	反射療法
ㄈㄢˇㄕㄜˋㄒㄧㄥˉㄩㄣˊ	反射星雲
ㄈㄢˇㄕㄜˋㄗㄨㄛˋㄩㄥˋ	反射作用
ㄈㄢˇㄖㄣˊㄉㄠˋㄗㄨㄟˋ	反人道罪
ㄈㄢˇㄖㄣˊㄌㄟˋㄗㄨㄟˋ	反人類罪
ㄈㄢˇㄗㄨㄛˋㄩㄥˋㄌㄧˋ	反作用力
ㄈㄢˇㄧㄡˋㄩㄣˋㄉㄨㄥˋ	反右運動
ㄈㄢˇㄩㄢˊㄩㄣˋㄉㄨㄥˋ	反袁運動
ㄈㄢˉㄅㄟˋㄑㄧㄢˊㄧㄚˉ	帆背潛鴨
ㄈㄢˉㄊㄧㄢˉㄈㄨˋㄉㄧˋ	翻天覆地
ㄈㄢˉㄌㄠˇㄏㄨㄤˊㄌㄧˋ	翻老皇曆
ㄈㄢˉㄎㄨㄥˉㄔㄨˉㄑㄧˊ	翻空出奇
ㄈㄢˉㄐㄧㄤˉㄉㄠˇㄏㄞˇ	翻江倒海
ㄈㄢˉㄕㄢˉㄩㄝˋㄌㄧㄥˇ	翻山越嶺
ㄈㄢˊㄖㄨㄥˊㄔㄤˉㄕㄥˋ	繁榮昌盛
ㄈㄢˊㄨㄣˊㄖㄨˋㄐㄧㄝˊ	繁文縟節
ㄈㄢˋㄇㄧㄣˊㄓㄨˇㄆㄞˋ	泛民主派
ㄈㄢˋㄉㄜˊㄏㄨㄚˊㄌㄧˋ	范德華力
ㄈㄢˋㄉㄜˊㄨㄚˇㄦˇㄙˉ	范德瓦耳斯
ㄈㄢˋㄉㄠˇㄌㄧㄡˇㄧㄥˉ	飯島柳鶯
ㄈㄢˋㄉㄧㄥˋㄈㄤˉㄔㄥˊ	泛定方程
ㄈㄢˋㄏㄢˋㄉㄨㄟˋㄧㄣˉ	梵漢對音
ㄈㄢˋㄑㄧㄡˇㄖㄨˊㄘㄠˇ	飯糗茹草
ㄈㄢˋㄓㄨˉㄙㄢˉㄐㄧㄠˇ	泛珠三角
ㄈㄢˋㄗㄨㄟˋㄐㄧˋㄌㄨˋ	犯罪記錄
ㄈㄣˇㄕㄣˉㄙㄨㄟˋㄍㄨˇ	粉身碎骨
ㄈㄣˉㄇㄣˊㄅㄧㄝˊㄌㄟˋ	分門別類
ㄈㄣˉㄇㄧㄠˇㄅㄧˋㄓㄥˉ	分秒必爭
ㄈㄣˉㄉㄠˋㄧㄤˊㄅㄧㄠˉ	分道揚鑣
ㄈㄣˉㄊㄧㄥˊㄎㄤˋㄌㄧˇ	分庭抗禮
ㄈㄣˉㄌㄟˋㄌㄧˇㄌㄨㄣˋ	分類理論
ㄈㄣˉㄑㄧˉㄈㄨˋㄎㄨㄢˇ	分期付款
ㄈㄣˉㄒㄧㄥˊㄐㄧˇㄏㄜˊ	分形幾何
ㄈㄣˉㄕˊㄉㄨㄛˉㄍㄨㄥˉ	分時多工
ㄈㄣˉㄙㄜˋㄐㄧㄥˋㄊㄡˊ	分色鏡頭
ㄈㄣˉㄙㄢˋㄏㄜˊㄒㄧㄢˊ	分散和弦
ㄈㄣˉㄨㄟˊㄅㄧㄢˉㄔㄥˊ	氛圍編程
ㄈㄣˊㄍㄠˉㄐㄧˋㄍㄨㄟˇ	焚膏繼晷
ㄈㄣˊㄑㄧㄣˊㄓㄨˇㄏㄜˋ	焚琴煮鶴
ㄈㄣˋㄈㄚˉㄊㄨˊㄑㄧㄤˊ	奮發圖強
ㄈㄣˋㄈㄣˋㄅㄨˋㄆㄧㄥˊ	忿忿不平 憤憤不平
ㄈㄣˋㄐㄧㄣˉㄍㄨㄟˉㄗˇ	糞金龜子
ㄈㄣㄏㄨㄥㄈㄨㄌㄧㄥㄑㄩㄝ	粉紅腹嶺雀
ㄈㄣㄏㄨㄥㄕㄢㄐㄧㄠㄋㄧㄠ	粉紅山椒鳥
ㄈㄤˇㄆㄧㄣˊㄨㄣˋㄎㄨˇ	訪貧問苦
ㄈㄤˇㄑㄧㄣˉㄨㄣˋㄧㄡˇ	訪親問友
ㄈㄤˇㄕˉㄑㄧㄡˊㄒㄩㄝˊ	訪師求學
ㄈㄤˉㄊㄡˊㄌㄨㄛˊㄇㄠˋ	方頭螺帽
ㄈㄤˉㄊㄡˊㄎㄨㄛˋㄏㄠˋ	方頭括號
ㄈㄤˉㄖㄨㄟˋㄩㄢˊㄗㄠˊ	方枘圓鑿
ㄈㄤˉㄘㄨㄣˋㄧˇㄌㄨㄢˋ	方寸已亂
ㄈㄤˊㄅㄠˋㄐㄧㄥˇㄔㄚˊ	防暴警察
ㄈㄤˊㄉㄨˊㄇㄧㄢˋㄐㄩˋ	防毒面具
ㄈㄤˊㄉㄨˊㄇㄧㄢˋㄓㄠˋ	防毒面罩
ㄈㄤˊㄉㄨˊㄊㄨㄥˉㄉㄠˋ	防毒通道
ㄈㄤˊㄉㄨˊㄒㄩㄝˉㄊㄠˋ	防毒靴套
ㄈㄤˊㄉㄨˊㄨㄟˊㄑㄩㄣˊ	防毒圍裙
ㄈㄤˊㄍㄨㄥˉㄏㄞˋㄋㄥˊ	妨功害能
ㄈㄤˊㄎㄨㄥˉㄅㄧˋㄋㄢˋ	防空避難
ㄈㄤˊㄏㄨˋㄧㄢˇㄐㄧㄥˋ	防護眼鏡
ㄈㄤˊㄏㄨㄛˇㄔㄤˊㄔㄥˊ	防火長城
ㄈㄤˊㄏㄨㄢˋㄨㄟˋㄇㄥˊ	防患未萌
ㄈㄤˊㄏㄨㄢˋㄨㄟˋㄖㄢˊ	防患未然
ㄈㄤˊㄕㄨˇㄐㄧㄤˋㄨㄣˉ	防暑降溫
ㄈㄤˊㄨˉㄓㄨㄥˉㄐㄧㄝˋ	房屋中介
ㄈㄤˊㄨㄟˉㄉㄨˋㄐㄧㄢˋ	防微杜漸
ㄈㄤˊㄨㄟˋㄍㄨㄛˋㄉㄤˋ	防衛過當
ㄈㄤˋㄇㄚˇㄍㄨㄛˋㄌㄞˊ	放馬過來
ㄈㄤˋㄇㄢˋㄐㄧㄠˇㄅㄨˋ	放慢腳步
ㄈㄤˋㄌㄤˋㄒㄧㄥˊㄏㄞˊ	放浪形骸
ㄈㄤˋㄎㄞˉㄕㄡˇㄐㄧㄠˇ	放開手腳
ㄈㄤˋㄒㄧㄚ˙ㄅㄠˉㄈㄨ˙	放下包袱
ㄈㄤˋㄕㄜˋㄌㄧㄠˊㄈㄚˇ	放射療法
ㄈㄤˋㄗㄞˋㄒㄧㄣˉㄕㄤˋ	放在心上
ㄈㄤㄓㄙㄏㄞㄦㄐㄧㄝㄓㄨㄣ	放之四海而皆準
ㄈㄤㄔㄤㄒㄧㄢㄉㄧㄠㄉㄚㄩ	放長線釣大魚
ㄈㄤㄕㄜㄇㄧㄢㄧㄘㄜㄉㄧㄥ	放射免疫測定
ㄈㄤㄕㄜㄒㄧㄥㄕㄨㄞㄅㄧㄢ	放射性衰變
ㄈㄥˉㄅㄛˉㄅㄨˋㄉㄨㄢˋ	風波不斷
ㄈㄥˉㄇㄤˊㄋㄟˋㄌㄧㄢˇ	鋒芒內斂
ㄈㄥˉㄈㄥˉㄎㄨㄤˋㄑㄩˉ	峰峰礦區
ㄈㄥˉㄈㄨˋㄉㄨㄛˉㄘㄞˇ	豐富多彩
ㄈㄥˉㄊㄧㄠˊㄩˇㄕㄨㄣˋ	風調雨順
ㄈㄥˉㄊㄨˇㄖㄣˊㄑㄧㄥˊ	風土人情
ㄈㄥˉㄌㄧˋㄕㄨㄟˇㄔㄜˉ	風力水車
ㄈㄥˉㄌㄧㄡˊㄊㄧˋㄊㄤˇ	風流倜儻
ㄈㄥˉㄌㄧㄡˊㄩㄣˊㄙㄢˋ	風流雲散
ㄈㄥˉㄍㄨㄢˉㄒㄩˇㄩㄢˋ	封官許願
ㄈㄥˉㄍㄨㄥˉㄨㄟˇㄐㄧˋ	豐功偉績
ㄈㄥˉㄎㄡˇㄌㄤˋㄐㄧㄢˉ	風口浪尖
ㄈㄥˉㄏㄨㄚˊㄓㄥˋㄇㄠˋ	風華正茂
ㄈㄥˉㄐㄧㄢˇㄧㄡˊㄖㄣˊ	豐儉由人
ㄈㄥˉㄐㄧㄢˋㄙˉㄒㄧㄤˇ	封建思想
ㄈㄥˉㄓㄥ˙ㄔㄨㄥˉㄌㄤˋ	風箏衝浪
ㄈㄥˉㄓㄨˊㄘㄢˊㄋㄧㄢˊ	風燭殘年
ㄈㄥˉㄔㄣˊㄒㄧㄡˋㄐㄧˊ	豐臣秀吉
ㄈㄥˉㄕㄥˉㄕㄨㄟˇㄑㄧˇ	風生水起
ㄈㄥˉㄕㄨㄤˉㄩˇㄒㄩㄝˇ	風霜雨雪
ㄈㄥˉㄧㄢˉㄅㄧㄢˋㄉㄧˋ	烽煙遍地
ㄈㄥˉㄨㄛˉㄨㄤˇㄌㄨㄛˋ	蜂窩網絡
ㄈㄥˉㄩˇㄏㄨㄟˋㄇㄧㄥˊ	風雨晦冥
ㄈㄥˉㄩˇㄐㄧㄠˉㄐㄧㄚˉ	風雨交加
ㄈㄥˉㄩㄣˋㄧㄡˊㄘㄨㄣˊ	風韻猶存
